City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Hermanus,ZA,51.91,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
7,Cooma,AU,62.37,broken clouds,-36.2333,149.1333,High Country Motel
8,San Juan,AR,59.72,broken clouds,-31.5375,-68.5364,Hotel Provincial
11,Cape Town,ZA,52.12,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
20,Rio Grande,BR,57.94,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
22,Mataura,NZ,55.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
24,Tumen,CN,58.35,overcast clouds,42.9661,129.8425,Friendship Hotel
26,Busselton,AU,57.09,scattered clouds,-33.65,115.3333,Observatory Guest House
29,Campbell River,CA,54.93,overcast clouds,50.0163,-125.2446,Ramada by Wyndham Campbell River
38,Albany,US,62.31,scattered clouds,42.6001,-73.9662,
40,Faya,SA,63.12,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
41,Naberera,TZ,58.32,broken clouds,-4.2,36.9333,
45,Ocampo,MX,59.02,overcast clouds,21.65,-101.5,Casa de ratas
47,Komsomolskiy,UZ,52.52,overcast clouds,40.4272,71.7189,Ikathouse
52,New Norfolk,AU,56.91,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
61,Mar Del Plata,AR,53.62,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
63,Newport,GB,51.64,broken clouds,51.5877,-2.9984,ibis budget Newport
65,Rexburg,US,61.86,clear sky,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
66,Khasan,RU,63.7,light rain,42.4308,130.6434,
74,Chitral,PK,66.56,clear sky,35.8462,71.7858,PTDC Motel Chitral
76,Mehamn,NO,53.51,broken clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
79,Bluff,NZ,55.8,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
82,Hobart,AU,57.25,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
89,Tooele,US,64.81,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
92,Jamestown,US,64.71,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
95,Altamont,US,66.76,scattered clouds,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
97,Hualmay,PE,61.9,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
98,Port Alfred,ZA,53.22,light rain,-33.5906,26.891,The Halyards Hotel
102,Coquimbo,CL,55.13,clear sky,-29.9533,-71.3436,Punto de encuentro
104,Carnarvon,AU,68.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
107,Lubbock,US,68.38,clear sky,33.6001,-101.8338,La Quinta Inn by Wyndham Lubbock - Downtown Civic Center
108,Torbay,CA,55.27,clear sky,47.6666,-52.7314,Gallows Cove
115,Saint Anthony,US,67.24,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
116,Fortuna,US,57.92,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
121,Codrington,AU,61.9,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
124,Pisco,PE,62.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
129,Roma,US,63.88,scattered clouds,43.2128,-75.4557,Wingate By Wyndham Rome
132,Amol,IR,65.05,overcast clouds,36.4696,52.3507,Shahr Hotel
134,Quarai,BR,64.92,moderate rain,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
140,Claresholm,CA,62.51,overcast clouds,50.0333,-113.5852,Bluebird Motel
142,Castro,BR,60.33,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
144,Tonj,SS,69.37,overcast clouds,7.2737,28.6822,Lakan Hotel
145,Port Elizabeth,ZA,50.09,few clouds,-33.918,25.5701,39 On Nile Guest House
146,Vila,PT,52.74,light rain,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
153,Dunedin,NZ,52.81,moderate rain,-45.8742,170.5036,Scenic Hotel Southern Cross
168,Geraldton,AU,66.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
175,Villa Carlos Paz,AR,55.89,scattered clouds,-31.4241,-64.4978,Monte Carlo
178,East London,ZA,53.42,few clouds,-33.0153,27.9116,Tu Casa
179,Tuatapere,NZ,55.81,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
183,Andilamena,MG,55.67,scattered clouds,-17.0167,48.5833,Police men home Andilamina
184,Dali,CN,67.03,few clouds,25.7,100.1833,Dali Travelling With Hostel
185,Yulara,AU,69.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
187,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
191,Sechura,PE,63.55,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
197,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
198,Lervik,GB,51.8,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
201,Kathmandu,NP,68.22,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
205,Elverum,NO,50.05,light rain,60.8819,11.5623,Scandic Elgstua
206,Bernay,FR,56.07,light rain,49.1667,0.6667,le logis de brionne
213,Carnduff,CA,57.18,light rain,49.1667,-101.8009,Western Star All Suites Hotel Carnduff
216,Korla,CN,51.15,overcast clouds,41.7597,86.1469,Gulisitan Hotel
218,Luena,AO,60.39,overcast clouds,-11.7833,19.9167,Hotel Kandamba
224,Ahipara,NZ,64.33,light rain,-35.1667,173.1667,Ahipara Holiday Park
228,Berlevag,NO,53.55,broken clouds,70.8578,29.0864,Kvitbrakka
229,Gondar,ET,56.91,overcast clouds,12.6,37.4667,L Shape Hotel
237,Nantucket,US,66.99,clear sky,41.2835,-70.0995,Jared Coffin House
238,Chuy,UY,54.95,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
248,Merrill,US,66.04,scattered clouds,45.1805,-89.6835,Prairie Motel
256,Korhogo,CI,69.37,broken clouds,9.45,-5.6333,Hôtel Tchinbota
262,Kashi,CN,65.41,clear sky,39.4547,75.9797,帕米尔青年旅舍
266,Hof,DE,56.97,overcast clouds,50.3167,11.9167,Hotel Burghof
268,Te Anau,NZ,54.01,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
272,Chimoio,MZ,67.95,clear sky,-19.1164,33.4833,Predio Livraria Ahmed
278,Shelburne,CA,66.18,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
283,Kaitangata,NZ,53.92,light rain,-46.2817,169.8464,Kaitangata Motor Camp
287,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
289,Esperance,AU,55.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
295,Copiapo,CL,51.49,clear sky,-27.3667,-70.3333,San Francisco de La Selva
296,Nosy Varika,MG,65.73,few clouds,-20.5833,48.5333,Hotel Volazara
298,Mastic Beach,US,68.99,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
299,Ales,FR,68.04,overcast clouds,44.1333,4.0833,ibis Alès Centre-Ville
304,Acari,PE,65.26,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
313,Banyo,CM,62.73,broken clouds,6.75,11.8167,Motel JOMBA
314,San Rafael,AR,50.49,clear sky,-34.6177,-68.3301,Hotel San Rafael
317,Malartic,CA,51.91,overcast clouds,48.1335,-78.1328,Camping Regional De Malartic
319,Saint-Francois,FR,67.68,clear sky,46.4154,3.9054,Manoir Du Bonheur
321,Camacha,PT,67.42,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
322,Newala,TZ,62.85,broken clouds,-10.9431,39.2787,Mnyeu Newala
325,Ginda,IN,63.07,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
328,Cidreira,BR,63.48,few clouds,-30.1811,-50.2056,Hotel Castelo
329,Fort Nelson,CA,53.19,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
334,Thompson,CA,51.96,broken clouds,55.7435,-97.8558,Burntwood Hotel
335,Findlay,US,69.75,moderate rain,41.0442,-83.6499,Drury Inn & Suites Findlay
337,Etzatlan,MX,69.57,broken clouds,20.7667,-104.0833,Hotel Cadillac
342,Mount Gambier,AU,58.91,light rain,-37.8333,140.7667,The Commodore
344,Antofagasta,CL,58.28,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
345,Skjervoy,NO,50.97,broken clouds,70.0311,20.9714,Skjervøy Byggeservice AS
349,Naples,IT,69.85,few clouds,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
352,Muros,ES,56.84,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
354,Batsfjord,NO,53.53,overcast clouds,70.6345,29.7185,Adventure Apartements
