City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kirakira,SB,-10.4544,161.9205,82.54,79,39,4.65,scattered clouds
1,Coolum Beach,AU,-26.5333,153.1,86.34,40,0,5.86,clear sky
2,Barrow,US,71.2906,-156.7887,28.29,84,100,14.09,overcast clouds
3,Hermanus,ZA,-34.4187,19.2345,51.91,67,42,2.51,scattered clouds
4,Punta Arenas,CL,-53.15,-70.9167,42.91,81,75,4.61,light rain
5,Nelson Bay,AU,-32.7167,152.15,78.3,50,8,7.72,clear sky
6,Rikitea,PF,-23.1203,-134.9692,73.47,65,0,19.84,clear sky
7,Cooma,AU,-36.2333,149.1333,62.37,55,75,12.66,broken clouds
8,San Juan,AR,-31.5375,-68.5364,59.72,19,63,15.99,broken clouds
9,Lavrentiya,RU,65.5833,-171.0,28.51,74,6,5.93,clear sky
10,Teya,RU,60.3778,92.6267,36.5,88,100,1.79,overcast clouds
11,Cape Town,ZA,-33.9258,18.4232,52.12,71,40,2.3,scattered clouds
12,Oranjemund,NA,-28.55,16.4333,52.65,75,0,19.86,clear sky
13,Nikolskoye,RU,59.7035,30.7861,43.88,95,16,4.76,few clouds
14,Klaksvik,FO,62.2266,-6.589,49.12,84,100,21.74,overcast clouds
15,Trairi,BR,-3.2778,-39.2689,78.71,82,4,12.64,clear sky
16,Pitimbu,BR,-7.4706,-34.8086,75.79,83,8,12.06,clear sky
17,Srednekolymsk,RU,67.45,153.6833,27.82,75,95,15.52,overcast clouds
18,Kupang,ID,-10.1667,123.5833,85.14,59,32,8.19,scattered clouds
19,Ancud,CL,-41.8697,-73.8203,44.13,84,44,7.63,scattered clouds
20,Rio Grande,BR,-32.035,-52.0986,57.94,88,68,9.86,broken clouds
21,Norman Wells,CA,65.282,-126.8329,33.84,93,90,8.05,overcast clouds
22,Mataura,NZ,-46.1927,168.8643,55.47,63,100,1.86,overcast clouds
23,Dalvik,IS,65.9702,-18.5286,40.93,99,100,21.3,overcast clouds
24,Tumen,CN,42.9661,129.8425,58.35,79,100,2.82,overcast clouds
25,Saint George,US,37.1041,-113.5841,84.79,15,1,5.75,clear sky
26,Busselton,AU,-33.65,115.3333,57.09,47,29,14.07,scattered clouds
27,Longyearbyen,SJ,78.2186,15.6401,36.97,99,100,2.3,light rain
28,Hilo,US,19.7297,-155.09,83.93,76,75,9.22,broken clouds
29,Campbell River,CA,50.0163,-125.2446,54.93,96,90,1.01,overcast clouds
30,Pacific Grove,US,36.6177,-121.9166,80.02,91,40,1.01,scattered clouds
31,Bambous Virieux,MU,-20.3428,57.7575,71.22,83,40,12.66,scattered clouds
32,Labuhan,ID,-6.8844,112.2051,85.32,58,100,7.34,overcast clouds
33,Tiznit,MA,29.5833,-9.5,70.03,46,0,3.15,clear sky
34,Zhigansk,RU,66.7697,123.3711,32.05,69,24,9.64,few clouds
35,Hobyo,SO,5.3505,48.5268,77.9,88,21,17.49,few clouds
36,Hithadhoo,MV,-0.6,73.0833,83.5,72,25,12.68,scattered clouds
37,Clyde River,CA,70.4692,-68.5914,37.18,84,100,5.1,overcast clouds
38,Albany,US,42.6001,-73.9662,62.31,88,36,3.29,scattered clouds
39,Yumen,CN,40.2833,97.2,44.28,40,69,19.48,broken clouds
40,Faya,SA,18.3851,42.4509,63.12,30,100,4.21,overcast clouds
41,Naberera,TZ,-4.2,36.9333,58.32,89,67,5.84,broken clouds
42,Qaanaaq,GL,77.484,-69.3632,30.69,95,100,15.73,light snow
43,Semey,KZ,50.4111,80.2275,37.62,75,40,2.24,scattered clouds
44,Victoria,HK,22.2855,114.1577,87.85,78,57,3.0,light rain
45,Ocampo,MX,21.65,-101.5,59.02,84,100,7.16,overcast clouds
46,Vaini,TO,-21.2,-175.2,73.56,94,75,12.66,broken clouds
47,Komsomolskiy,UZ,40.4272,71.7189,52.52,46,93,2.3,overcast clouds
48,Kapaa,US,22.0752,-159.319,84.18,70,71,4.0,light rain
